Condition Number,Subject_ID,Privacy,x_pos,Condition,Initialization,Algorithm
0,S101,0.666666667,0,LocalRandom,Random,Local
0,S102,0.666666667,0,LocalRandom,Random,Local
0,S103,1,0,LocalRandom,Random,Local
0,S104,0.666666667,0,LocalRandom,Random,Local
0,S105,0.833333333,0,LocalRandom,Random,Local
0,S106,0.833333333,0,LocalRandom,Random,Local
0,S108,0.833333333,0,LocalRandom,Random,Local
0,S109,1,0,LocalRandom,Random,Local
0,S110,0.666666667,0,LocalRandom,Random,Local
0,S111,1,0,LocalRandom,Random,Local
0,S112,0.666666667,0,LocalRandom,Random,Local
0,S113,0.666666667,0,LocalRandom,Random,Local
0,S114,0.666666667,0,LocalRandom,Random,Local
0,S115,0.666666667,0,LocalRandom,Random,Local
0,S116,1,0,LocalRandom,Random,Local
0,S117,1,0,LocalRandom,Random,Local
1,S101,1,1,LocalSims,Open-loop,Local
1,S102,1,1,LocalSims,Open-loop,Local
1,S103,1,1,LocalSims,Open-loop,Local
1,S104,0.833333333,1,LocalSims,Open-loop,Local
1,S105,0.666666667,1,LocalSims,Open-loop,Local
1,S106,1,1,LocalSims,Open-loop,Local
1,S108,1,1,LocalSims,Open-loop,Local
1,S109,1,1,LocalSims,Open-loop,Local
1,S110,0.833333333,1,LocalSims,Open-loop,Local
1,S111,0.833333333,1,LocalSims,Open-loop,Local
1,S112,1,1,LocalSims,Open-loop,Local
1,S113,1,1,LocalSims,Open-loop,Local
1,S114,1,1,LocalSims,Open-loop,Local
1,S115,1,1,LocalSims,Open-loop,Local
1,S116,0.833333333,1,LocalSims,Open-loop,Local
1,S117,1,1,LocalSims,Open-loop,Local
2,S101,1,4,Static,Pretrained,Static
2,S102,1,4,Static,Pretrained,Static
2,S103,1,4,Static,Pretrained,Static
2,S104,1,4,Static,Pretrained,Static
2,S105,1,4,Static,Pretrained,Static
2,S106,1,4,Static,Pretrained,Static
2,S108,1,4,Static,Pretrained,Static
2,S109,1,4,Static,Pretrained,Static
2,S110,1,4,Static,Pretrained,Static
2,S111,1,4,Static,Pretrained,Static
2,S112,1,4,Static,Pretrained,Static
2,S113,1,4,Static,Pretrained,Static
2,S114,1,4,Static,Pretrained,Static
2,S115,1,4,Static,Pretrained,Static
2,S116,1,4,Static,Pretrained,Static
2,S117,1,4,Static,Pretrained,Static
3,S101,0.666666667,2,PFARandom,Random,PFA
3,S102,0.166666667,2,PFARandom,Random,PFA
3,S103,0.666666667,2,PFARandom,Random,PFA
3,S104,0.833333333,2,PFARandom,Random,PFA
3,S105,0.666666667,2,PFARandom,Random,PFA
3,S106,1,2,PFARandom,Random,PFA
3,S108,0.666666667,2,PFARandom,Random,PFA
3,S109,0.333333333,2,PFARandom,Random,PFA
3,S110,0.166666667,2,PFARandom,Random,PFA
3,S111,0.333333333,2,PFARandom,Random,PFA
3,S112,0.666666667,2,PFARandom,Random,PFA
3,S113,0,2,PFARandom,Random,PFA
3,S114,0.5,2,PFARandom,Random,PFA
3,S115,0.333333333,2,PFARandom,Random,PFA
3,S116,0.666666667,2,PFARandom,Random,PFA
3,S117,0.5,2,PFARandom,Random,PFA
4,S101,1,3,PFASims,Open-loop,PFA
4,S102,0.666666667,3,PFASims,Open-loop,PFA
4,S103,0.333333333,3,PFASims,Open-loop,PFA
4,S104,1,3,PFASims,Open-loop,PFA
4,S105,0.5,3,PFASims,Open-loop,PFA
4,S106,0.833333333,3,PFASims,Open-loop,PFA
4,S108,0.666666667,3,PFASims,Open-loop,PFA
4,S109,0.333333333,3,PFASims,Open-loop,PFA
4,S110,0.166666667,3,PFASims,Open-loop,PFA
4,S111,0.666666667,3,PFASims,Open-loop,PFA
4,S112,0.833333333,3,PFASims,Open-loop,PFA
4,S113,1,3,PFASims,Open-loop,PFA
4,S114,0.666666667,3,PFASims,Open-loop,PFA
4,S115,0.5,3,PFASims,Open-loop,PFA
4,S116,0.833333333,3,PFASims,Open-loop,PFA
4,S117,0.166666667,3,PFASims,Open-loop,PFA
