Condition_Number,x_pos,Algorithm,Scenario,Cost,Subject_ID
0,0,Local,Intra,0.033732,0
0,0,Local,Intra,0.17869,1
0,0,Local,Intra,0.00549,2
0,0,Local,Intra,0.004171,3
0,0,Local,Intra,0.003799,4
0,0,Local,Intra,0.027784,5
0,0,Local,Intra,0.011917,6
0,0,Local,Intra,0.054979,7
0,0,Local,Intra,0.09166,8
0,0,Local,Intra,0.022915,9
0,0,Local,Intra,0.014028,10
0,0,Local,Intra,0.673436,11
0,0,Local,Intra,0.013154,12
0,0,Local,Intra,0.012897,13
1,2,Per-FedAvg,Intra,0.00789823,0
1,2,Per-FedAvg,Intra,0.008320604,1
1,2,Per-FedAvg,Intra,0.014570118,2
1,2,Per-FedAvg,Intra,0.007628716,3
1,2,Per-FedAvg,Intra,0.008708642,4
1,2,Per-FedAvg,Intra,0.013444907,5
1,2,Per-FedAvg,Intra,0.00390012,6
1,2,Per-FedAvg,Intra,0.002383629,7
1,2,Per-FedAvg,Intra,0.005495023,8
1,2,Per-FedAvg,Intra,0.009327996,9
1,2,Per-FedAvg,Intra,0.00649068,10
1,2,Per-FedAvg,Intra,0.009499881,11
1,2,Per-FedAvg,Intra,0.00731649,12
1,2,Per-FedAvg,Intra,0.00917323,13
2,1,FedAvg,Intra,0.008099942,0
2,1,FedAvg,Intra,0.008506133,1
2,1,FedAvg,Intra,0.016554874,2
2,1,FedAvg,Intra,0.007604215,3
2,1,FedAvg,Intra,0.008752109,4
2,1,FedAvg,Intra,0.016158268,5
2,1,FedAvg,Intra,0.00389015,6
2,1,FedAvg,Intra,0.002637524,7
2,1,FedAvg,Intra,0.005616072,8
2,1,FedAvg,Intra,0.009291587,9
2,1,FedAvg,Intra,0.0065101,10
2,1,FedAvg,Intra,0.010278818,11
2,1,FedAvg,Intra,0.008019376,12
2,1,FedAvg,Intra,0.009106022,13
3,0,Local,Cross,0.289187,0
3,0,Local,Cross,0.254175,1
3,0,Local,Cross,0.326849,2
3,0,Local,Cross,0.332813,3
3,0,Local,Cross,0.304886,4
3,0,Local,Cross,0.306507,5
3,0,Local,Cross,0.019869,6
3,0,Local,Cross,0.103417,7
3,0,Local,Cross,0.115213,8
3,0,Local,Cross,0.059287,9
3,0,Local,Cross,0.341489,10
3,0,Local,Cross,0.040171,11
3,0,Local,Cross,0.226918,12
3,0,Local,Cross,0.178335,13
4,2,Per-FedAvg,Cross,0.009002,0
4,2,Per-FedAvg,Cross,0.009103,1
4,2,Per-FedAvg,Cross,0.009115,2
4,2,Per-FedAvg,Cross,0.008801,3
4,2,Per-FedAvg,Cross,0.007645,4
4,2,Per-FedAvg,Cross,0.008589,5
4,2,Per-FedAvg,Cross,0.008265,6
4,2,Per-FedAvg,Cross,0.008789,7
4,2,Per-FedAvg,Cross,0.008101,8
4,2,Per-FedAvg,Cross,0.008233,9
4,2,Per-FedAvg,Cross,0.008522,10
4,2,Per-FedAvg,Cross,0.007489,11
4,2,Per-FedAvg,Cross,0.007503,12
4,2,Per-FedAvg,Cross,0.007219,13
5,1,FedAvg,Cross,0.009732,0
5,1,FedAvg,Cross,0.009854,1
5,1,FedAvg,Cross,0.009614,2
5,1,FedAvg,Cross,0.009659,3
5,1,FedAvg,Cross,0.00841,4
5,1,FedAvg,Cross,0.009583,5
5,1,FedAvg,Cross,0.0089,6
5,1,FedAvg,Cross,0.009683,7
5,1,FedAvg,Cross,0.00887,8
5,1,FedAvg,Cross,0.008997,9
5,1,FedAvg,Cross,0.009453,10
5,1,FedAvg,Cross,0.008512,11
5,1,FedAvg,Cross,0.008108,12
5,1,FedAvg,Cross,0.007961,13
